Date,AWND,PRCP,TAVG,RUNOFF
2016-Q1,4.15,83.83,-2.43,74.87
2016-Q2,3.54,59.99,7.77,79.31
2016-Q3,3.03,84.23,20.97,72.96
2016-Q4,3.18,89.12,11.45,78.25
2017-Q1,3.81,76.38,-1.72,97.09
2017-Q2,3.99,123.57,7.19,91.65
2017-Q3,2.89,109.84,19.59,105.38
2017-Q4,3.19,93.99,11.43,92.51
2018-Q1,3.71,87.03,-2.4,167.17
2018-Q2,3.86,85.62,6.6,213.87
2018-Q3,2.8,114.72,20.86,152.63
2018-Q4,3.28,140,9.98,188.96
2019-Q1,4.01,102.25,-3.47,149.9
2019-Q2,3.67,98.26,6.75,140.48
2019-Q3,2.64,107.64,20.1,143
2019-Q4,3.38,102.4,9.72,138.35
2020-Q1,3.65,86.97,-1.19,118.72
2020-Q2,3.86,81.23,7.36,109.04
2020-Q3,2.77,91.69,21.16,100.66
2020-Q4,3.17,79.34,11.02,101.77
2021-Q1,3.49,61.84,-2.19,139.14
2021-Q2,3.6,74.04,8.06,120.5
2021-Q3,2.64,139.01,20.98,103
2021-Q4,3,121.51,11.51,100.03
2022-Q1,3.84,86.7,-4.05,105.59
2022-Q2,3.63,89.76,8.1,110.64
2022-Q3,2.85,84.39,20.67,128.32
2022-Q4,3.05,98.15,10.94,116.06
2023-Q1,3.35,100.4,0.7,93.36
2023-Q2,3.44,82.66,7.82,98.73
2023-Q3,2.59,128.65,19.9,93.24
2023-Q4,3.03,84.03,11.03,91.34
2024-Q1,3.61,81.67,-1.02,129.61
